x,y,z,visibility,presence,hand
0.8095203042030334,0.6744519472122192,-7.664014844976919e-08,0.0,0.0,0
0.7551335096359253,0.6143982410430908,-0.023898817598819733,0.0,0.0,0
0.7179561853408813,0.5310617685317993,-0.03351403400301933,0.0,0.0,0
0.702961802482605,0.44981107115745544,-0.04242619127035141,0.0,0.0,0
0.6959852576255798,0.38185012340545654,-0.050120674073696136,0.0,0.0,0
0.7547363042831421,0.42179664969444275,-0.00387145415879786,0.0,0.0,0
0.7496757507324219,0.32805508375167847,-0.017288627102971077,0.0,0.0,0
0.7514751553535461,0.2796347141265869,-0.03208615630865097,0.0,0.0,0
0.7560800313949585,0.23048566281795502,-0.044607967138290405,0.0,0.0,0
0.7873630523681641,0.41285696625709534,-0.003452986478805542,0.0,0.0,0
0.7864418029785156,0.30972129106521606,-0.014307362027466297,0.0,0.0,0
0.7875290513038635,0.25894975662231445,-0.02663491852581501,0.0,0.0,0
0.7910042405128479,0.20976702868938446,-0.03800616413354874,0.0,0.0,0
0.8166689872741699,0.4224555194377899,-0.008026356808841228,0.0,0.0,0
0.8185192346572876,0.32492467761039734,-0.02104184962809086,0.0,0.0,0
0.8180178999900818,0.27235421538352966,-0.030208520591259003,0.0,0.0,0
0.8179553151130676,0.22446243464946747,-0.03773467615246773,0.0,0.0,0
0.8491372466087341,0.4510950744152069,-0.015736060217022896,0.0,0.0,0
0.8565378785133362,0.37693724036216736,-0.02603204734623432,0.0,0.0,0
0.8602608442306519,0.33212217688560486,-0.031174521893262863,0.0,0.0,0
0.863469123840332,0.286720871925354,-0.03616698458790779,0.0,0.0,0
